id,text,label,Location,Purchase Frequency,Preferred Category,Loyalty Status,Device Used,Subscription Status,Feedback Sentiment Score,Days Since Last Purchase
1,The product is amazing! Highly recommend it.,Positive,San Antonio,High,Toys,Occasional,Mobile,No,0.63,40
2,"Terrible quality, would not buy again.",Negative,Houston,High,Home Goods,Occasional,Tablet,No,-0.87,15
3,"It's okay, but could be better.",Neutral,Phoenix,Low,Home Goods,New,Mobile,No,-0.08,70
4,Best purchase ever! Love the features.,Positive,San Antonio,High,Clothing,Occasional,Tablet,Yes,0.85,80
5,"The delivery was late, and the item was damaged.",Negative,Chicago,Medium,Electronics,Occasional,Tablet,No,-0.7,85
6,Decent product for the price.,Neutral,Phoenix,Low,Clothing,Occasional,Tablet,No,0.13,98
7,Absolutely love this! Worth every penny.,Positive,Phoenix,High,Sports,Occasional,Desktop,Yes,0.79,38
8,Not worth the money. Save your cash.,Negative,San Antonio,Low,Clothing,Regular,Tablet,No,-0.85,99
9,"It works fine, nothing special though.",Neutral,Los Angeles,High,Home Goods,New,Desktop,Yes,0.19,97
10,Great service and fast shipping!,Positive,Chicago,Low,Electronics,Occasional,Mobile,Yes,0.94,8
11,The product is amazing! Highly recommend it.,Negative,San Antonio,Medium,Sports,Regular,Tablet,Yes,-0.86,76
12,"Terrible quality, would not buy again.",Neutral,Chicago,Low,Home Goods,New,Desktop,Yes,0.17,39
13,"It's okay, but could be better.",Positive,Chicago,Medium,Sports,Occasional,Mobile,No,0.86,60
14,Best purchase ever! Love the features.,Negative,Phoenix,Medium,Home Goods,New,Tablet,Yes,-0.79,60
15,"The delivery was late, and the item was damaged.",Neutral,Houston,Low,Home Goods,New,Mobile,Yes,-0.01,56
16,Decent product for the price.,Positive,Chicago,Medium,Home Goods,New,Desktop,Yes,0.72,18
17,Absolutely love this! Worth every penny.,Negative,Philadelphia,Medium,Toys,Regular,Desktop,Yes,-0.6,48
18,Not worth the money. Save your cash.,Neutral,Phoenix,Low,Books,Regular,Tablet,No,-0.13,21
19,"It works fine, nothing special though.",Positive,Los Angeles,High,Electronics,New,Desktop,Yes,0.53,56
20,Great service and fast shipping!,Negative,Houston,Medium,Toys,New,Desktop,Yes,-0.75,91
21,The product is amazing! Highly recommend it.,Neutral,Philadelphia,Medium,Books,Occasional,Mobile,No,-0.08,12
22,"Terrible quality, would not buy again.",Positive,Philadelphia,Medium,Sports,Occasional,Tablet,Yes,0.78,6
23,"It's okay, but could be better.",Negative,Los Angeles,Medium,Books,Regular,Tablet,No,-0.51,31
24,Best purchase ever! Love the features.,Neutral,Houston,Low,Books,New,Tablet,Yes,0.07,98
25,"The delivery was late, and the item was damaged.",Positive,Phoenix,Medium,Toys,Regular,Mobile,Yes,0.98,71
26,Decent product for the price.,Negative,New York,Medium,Electronics,Regular,Desktop,Yes,-0.63,61
27,Absolutely love this! Worth every penny.,Neutral,Houston,Medium,Clothing,Occasional,Tablet,Yes,-0.17,95
28,Not worth the money. Save your cash.,Positive,Los Angeles,High,Books,Regular,Tablet,Yes,0.94,68
29,"It works fine, nothing special though.",Negative,Philadelphia,Medium,Clothing,New,Mobile,Yes,-0.9,57
30,Great service and fast shipping!,Neutral,Phoenix,Low,Clothing,Regular,Mobile,No,0.15,61
31,The product is amazing! Highly recommend it.,Positive,Houston,Low,Home Goods,Regular,Tablet,Yes,0.87,17
32,"Terrible quality, would not buy again.",Negative,New York,Low,Clothing,Occasional,Tablet,Yes,-0.58,29
33,"It's okay, but could be better.",Neutral,New York,Low,Sports,Occasional,Mobile,No,-0.1,67
34,Best purchase ever! Love the features.,Positive,Chicago,Medium,Sports,Regular,Mobile,Yes,0.9,59
35,"The delivery was late, and the item was damaged.",Negative,Chicago,Low,Home Goods,Occasional,Mobile,No,-0.69,88
36,Decent product for the price.,Neutral,San Antonio,Low,Electronics,Occasional,Mobile,No,-0.17,3
37,Absolutely love this! Worth every penny.,Positive,Los Angeles,Low,Electronics,New,Desktop,Yes,0.94,27
38,Not worth the money. Save your cash.,Negative,Houston,Low,Sports,Regular,Desktop,No,-0.56,1
39,"It works fine, nothing special though.",Neutral,Houston,Low,Home Goods,New,Tablet,No,0.03,79
40,Great service and fast shipping!,Positive,San Antonio,Low,Electronics,Occasional,Desktop,No,0.73,78
41,The product is amazing! Highly recommend it.,Negative,Philadelphia,Medium,Books,Regular,Mobile,No,-0.8,4
42,"Terrible quality, would not buy again.",Neutral,Philadelphia,Medium,Electronics,Regular,Tablet,No,0.04,4
43,"It's okay, but could be better.",Positive,San Antonio,Low,Home Goods,Occasional,Mobile,No,0.92,89
44,Best purchase ever! Love the features.,Negative,Philadelphia,Medium,Sports,Regular,Desktop,No,-0.72,75
45,"The delivery was late, and the item was damaged.",Neutral,Chicago,Medium,Books,Regular,Mobile,No,-0.15,33
46,Decent product for the price.,Positive,Houston,Low,Clothing,Regular,Tablet,No,0.65,11
47,Absolutely love this! Worth every penny.,Negative,San Antonio,Low,Clothing,Occasional,Desktop,Yes,-0.67,76
48,Not worth the money. Save your cash.,Neutral,Houston,Medium,Clothing,Occasional,Tablet,No,0.06,79
49,"It works fine, nothing special though.",Positive,New York,Medium,Sports,Regular,Desktop,No,0.76,57
50,Great service and fast shipping!,Negative,Chicago,Low,Home Goods,Occasional,Mobile,Yes,-0.88,26
51,The product is amazing! Highly recommend it.,Neutral,Phoenix,Low,Clothing,Occasional,Tablet,Yes,-0.09,88
52,"Terrible quality, would not buy again.",Positive,Chicago,High,Electronics,Regular,Desktop,Yes,0.74,26
53,"It's okay, but could be better.",Negative,San Antonio,Low,Clothing,New,Desktop,No,-0.8,54
54,Best purchase ever! Love the features.,Neutral,Phoenix,Low,Toys,Occasional,Desktop,No,-0.07,27
55,"The delivery was late, and the item was damaged.",Positive,New York,High,Sports,New,Desktop,Yes,0.91,91
56,Decent product for the price.,Negative,San Antonio,High,Toys,Regular,Mobile,No,-0.75,54
57,Absolutely love this! Worth every penny.,Neutral,Los Angeles,Medium,Clothing,New,Mobile,Yes,0.0,2
58,Not worth the money. Save your cash.,Positive,Houston,Medium,Clothing,Occasional,Desktop,Yes,0.71,87
59,"It works fine, nothing special though.",Negative,New York,Low,Toys,Occasional,Mobile,No,-0.66,9
60,Great service and fast shipping!,Neutral,Houston,Low,Sports,Occasional,Mobile,Yes,-0.13,72
61,The product is amazing! Highly recommend it.,Positive,Philadelphia,Medium,Sports,Regular,Desktop,Yes,0.97,64
62,"Terrible quality, would not buy again.",Negative,Los Angeles,Low,Clothing,New,Mobile,No,-0.95,65
63,"It's okay, but could be better.",Neutral,Los Angeles,Medium,Sports,Occasional,Tablet,Yes,0.08,21
64,Best purchase ever! Love the features.,Positive,New York,High,Books,Regular,Tablet,No,0.85,26
65,"The delivery was late, and the item was damaged.",Negative,Los Angeles,High,Sports,Regular,Mobile,Yes,-0.94,15
66,Decent product for the price.,Neutral,Phoenix,Low,Toys,Regular,Desktop,No,0.2,43
67,Absolutely love this! Worth every penny.,Positive,Los Angeles,Medium,Home Goods,Occasional,Tablet,No,0.52,89
68,Not worth the money. Save your cash.,Negative,Houston,Medium,Toys,Occasional,Mobile,No,-0.82,39
69,"It works fine, nothing special though.",Neutral,Houston,High,Electronics,Occasional,Mobile,Yes,-0.03,16
70,Great service and fast shipping!,Positive,San Antonio,Low,Books,Regular,Desktop,No,0.9,35
71,The product is amazing! Highly recommend it.,Negative,Houston,Low,Home Goods,Occasional,Desktop,Yes,-0.99,23
72,"Terrible quality, would not buy again.",Neutral,San Antonio,Low,Clothing,Occasional,Mobile,Yes,0.02,12
73,"It's okay, but could be better.",Positive,Houston,Medium,Electronics,Regular,Desktop,Yes,0.6,56
74,Best purchase ever! Love the features.,Negative,Phoenix,Medium,Electronics,Regular,Tablet,No,-0.71,52
75,"The delivery was late, and the item was damaged.",Neutral,San Antonio,Medium,Books,Regular,Tablet,No,0.06,19
76,Decent product for the price.,Positive,Chicago,Medium,Home Goods,New,Mobile,No,0.52,98
77,Absolutely love this! Worth every penny.,Negative,Philadelphia,Low,Electronics,Occasional,Mobile,No,-0.97,62
78,Not worth the money. Save your cash.,Neutral,New York,Medium,Home Goods,New,Desktop,Yes,-0.17,8
79,"It works fine, nothing special though.",Positive,Houston,Low,Home Goods,Regular,Tablet,No,0.93,87
80,Great service and fast shipping!,Negative,Los Angeles,High,Sports,New,Desktop,Yes,-0.54,11
81,The product is amazing! Highly recommend it.,Neutral,Houston,High,Electronics,Occasional,Mobile,Yes,-0.02,43
82,"Terrible quality, would not buy again.",Positive,Los Angeles,High,Home Goods,Occasional,Mobile,Yes,0.94,98
83,"It's okay, but could be better.",Negative,Philadelphia,High,Books,Regular,Mobile,Yes,-0.76,69
84,Best purchase ever! Love the features.,Neutral,Philadelphia,Low,Electronics,Occasional,Mobile,No,-0.04,37
85,"The delivery was late, and the item was damaged.",Positive,Philadelphia,Low,Books,New,Mobile,Yes,0.77,25
86,Decent product for the price.,Negative,Los Angeles,Medium,Books,Regular,Mobile,Yes,-0.6,88
87,Absolutely love this! Worth every penny.,Neutral,Houston,High,Home Goods,Regular,Desktop,No,-0.11,24
88,Not worth the money. Save your cash.,Positive,Philadelphia,Low,Home Goods,Occasional,Desktop,Yes,0.65,34
89,"It works fine, nothing special though.",Negative,Phoenix,Low,Sports,New,Desktop,Yes,-0.58,82
90,Great service and fast shipping!,Neutral,San Antonio,High,Sports,Occasional,Tablet,No,0.17,12
91,The product is amazing! Highly recommend it.,Positive,Los Angeles,Low,Electronics,Regular,Desktop,Yes,0.56,42
92,"Terrible quality, would not buy again.",Negative,Los Angeles,Medium,Sports,Occasional,Mobile,No,-0.65,79
93,"It's okay, but could be better.",Neutral,Houston,Medium,Clothing,Regular,Desktop,Yes,-0.2,12
94,Best purchase ever! Love the features.,Positive,Los Angeles,Low,Electronics,New,Desktop,Yes,0.62,29
95,"The delivery was late, and the item was damaged.",Negative,Los Angeles,Low,Books,Occasional,Tablet,No,-0.97,93
96,Decent product for the price.,Neutral,Philadelphia,Medium,Sports,Occasional,Mobile,Yes,0.01,20
97,Absolutely love this! Worth every penny.,Positive,Houston,Medium,Sports,Regular,Tablet,Yes,0.67,79
98,Not worth the money. Save your cash.,Negative,Philadelphia,High,Sports,New,Tablet,Yes,-0.93,3
99,"It works fine, nothing special though.",Neutral,San Antonio,Medium,Home Goods,Occasional,Tablet,Yes,-0.2,80
100,Great service and fast shipping!,Positive,San Antonio,Low,Books,New,Desktop,Yes,0.69,61
101,The product is amazing! Highly recommend it.,Negative,Philadelphia,Medium,Sports,Occasional,Mobile,Yes,-0.85,83
102,"Terrible quality, would not buy again.",Neutral,San Antonio,Medium,Toys,New,Mobile,Yes,-0.18,71
103,"It's okay, but could be better.",Positive,Houston,Low,Toys,New,Tablet,No,0.93,22
104,Best purchase ever! Love the features.,Negative,New York,Medium,Books,Regular,Mobile,Yes,-0.79,79
105,"The delivery was late, and the item was damaged.",Neutral,Philadelphia,Low,Sports,New,Mobile,Yes,0.11,73
106,Decent product for the price.,Positive,Phoenix,Low,Clothing,Regular,Tablet,No,0.71,17
107,Absolutely love this! Worth every penny.,Negative,Phoenix,Low,Clothing,Occasional,Desktop,No,-0.97,97
108,Not worth the money. Save your cash.,Neutral,Los Angeles,Medium,Electronics,New,Tablet,Yes,-0.04,2
109,"It works fine, nothing special though.",Positive,San Antonio,Medium,Electronics,Regular,Tablet,Yes,0.94,7
110,Great service and fast shipping!,Negative,Phoenix,Medium,Sports,Occasional,Desktop,Yes,-1.0,95
111,The product is amazing! Highly recommend it.,Neutral,Los Angeles,Medium,Electronics,Occasional,Desktop,Yes,0.16,14
112,"Terrible quality, would not buy again.",Positive,New York,High,Home Goods,Occasional,Desktop,Yes,0.83,4
113,"It's okay, but could be better.",Negative,Houston,Low,Clothing,New,Desktop,Yes,-0.5,45
114,Best purchase ever! Love the features.,Neutral,Houston,Low,Books,Occasional,Tablet,Yes,0.17,63
115,"The delivery was late, and the item was damaged.",Positive,Houston,Low,Sports,New,Desktop,Yes,0.93,10
116,Decent product for the price.,Negative,Phoenix,Low,Sports,Regular,Mobile,Yes,-0.98,45
117,Absolutely love this! Worth every penny.,Neutral,New York,Medium,Toys,Regular,Tablet,No,-0.09,86
118,Not worth the money. Save your cash.,Positive,Phoenix,Medium,Clothing,Occasional,Tablet,Yes,0.69,88
119,"It works fine, nothing special though.",Negative,San Antonio,Medium,Clothing,Occasional,Desktop,Yes,-0.65,44
120,Great service and fast shipping!,Neutral,Phoenix,Low,Clothing,Regular,Desktop,Yes,0.06,55
121,The product is amazing! Highly recommend it.,Positive,New York,Medium,Electronics,Occasional,Mobile,Yes,0.59,18
122,"Terrible quality, would not buy again.",Negative,New York,Medium,Home Goods,Regular,Desktop,No,-0.63,11
123,"It's okay, but could be better.",Neutral,San Antonio,Low,Books,Occasional,Tablet,No,-0.14,54
124,Best purchase ever! Love the features.,Positive,New York,Medium,Electronics,Regular,Desktop,Yes,0.73,1
125,"The delivery was late, and the item was damaged.",Negative,New York,High,Home Goods,Occasional,Mobile,Yes,-0.71,53
126,Decent product for the price.,Neutral,Houston,Medium,Clothing,Occasional,Tablet,No,0.15,96
127,Absolutely love this! Worth every penny.,Positive,San Antonio,Medium,Home Goods,New,Tablet,Yes,0.82,80
128,Not worth the money. Save your cash.,Negative,Chicago,Medium,Electronics,Occasional,Desktop,No,-0.52,78
129,"It works fine, nothing special though.",Neutral,Chicago,Low,Clothing,Occasional,Mobile,Yes,0.2,33
130,Great service and fast shipping!,Positive,New York,Medium,Electronics,New,Mobile,No,0.75,7
131,The product is amazing! Highly recommend it.,Negative,Chicago,Low,Books,Occasional,Desktop,Yes,-0.97,83
132,"Terrible quality, would not buy again.",Neutral,Chicago,Low,Clothing,Regular,Tablet,Yes,-0.19,25
133,"It's okay, but could be better.",Positive,New York,Medium,Home Goods,New,Tablet,Yes,0.93,69
134,Best purchase ever! Love the features.,Negative,Chicago,High,Electronics,Occasional,Tablet,No,-0.75,49
