temperature,humidity,wind_speed,precipitation,atmospheric_pressure,rain
34.5,86.1,13.0,6.8,1013.8,0
18.2,54.1,12.4,6.3,1011.9,0
25.8,46.7,5.9,7.5,1019.6,0
21.9,34.9,22.9,6.2,1016.8,0
25.1,59.9,26.3,2.2,1009.8,0
22.4,42.0,10.5,2.5,1020.0,1
18.7,73.3,21.5,5.6,1016.2,1
28.7,46.6,7.6,2.8,1011.2,0
21.9,74.4,22.4,1.0,1019.2,0
28.4,80.4,9.5,3.0,1011.2,0
32.5,30.7,15.2,7.7,1013.0,0
28.0,49.1,14.4,4.2,1009.7,0
26.9,59.3,6.6,3.7,1004.1,0
19.0,60.9,22.8,5.5,1018.3,0
15.9,52.5,20.9,9.0,1008.0,1
17.2,75.4,9.8,5.7,1016.0,0
34.3,86.5,6.5,7.9,1007.8,1
17.0,74.3,6.8,3.8,1003.0,0
31.5,53.5,5.5,4.2,1015.9,0
22.9,36.3,21.5,0.8,1013.4,0
29.6,56.4,21.9,1.3,1010.2,1
21.5,73.2,21.3,5.3,1007.1,1
15.2,81.5,20.5,1.7,1014.6,1
20.6,77.3,13.7,9.7,1010.9,1
21.0,70.6,13.0,5.6,1011.1,0
26.5,39.9,8.0,0.6,1014.2,0
18.9,78.1,24.6,6.7,1008.0,0
33.7,37.3,12.4,6.1,1000.5,0
33.7,61.2,26.5,4.5,1008.1,0
16.5,65.6,21.7,2.1,1013.7,1
34.7,82.9,6.5,4.7,1012.5,0
27.9,60.9,29.0,8.8,1016.4,0
27.5,61.8,27.3,7.2,1017.8,0
28.6,68.1,23.0,7.9,1008.7,0
19.2,68.7,16.4,8.1,1001.8,0
20.3,85.5,28.6,2.5,1004.4,0
27.5,49.1,7.5,0.6,1008.8,0
27.5,89.4,16.0,0.8,1018.0,0
33.9,61.4,19.3,2.0,1008.1,1
31.5,59.8,28.8,8.7,1001.6,0
25.6,81.8,14.7,5.3,1009.2,1
22.9,74.2,23.0,7.4,1002.8,1
16.9,61.1,14.7,5.6,1001.7,0
29.3,44.0,13.8,7.9,1004.4,0
20.9,53.1,9.2,7.3,1016.0,0
19.8,85.6,18.5,9.9,1016.3,0
18.8,63.1,18.8,7.2,1007.0,0
23.8,77.2,22.7,0.3,1006.7,1
27.5,37.1,11.8,6.6,1011.7,0
28.7,80.7,21.8,10.0,1012.9,0
32.0,44.6,29.8,0.1,1006.8,1
31.4,89.9,15.8,9.7,1013.1,0
19.0,56.5,8.5,6.1,1014.2,1
16.3,59.0,27.7,2.5,1017.0,1
34.6,34.6,7.0,4.6,1004.3,1
30.2,53.7,20.6,10.0,1004.0,0
30.2,61.7,6.5,7.2,1009.9,1
23.3,73.2,14.9,2.0,1013.3,0
33.3,64.4,18.1,6.7,1004.1,0
26.0,72.5,16.2,7.6,1004.7,0
17.2,49.5,17.9,8.5,1008.3,1
24.5,65.8,21.4,8.6,1019.3,0
33.4,35.6,14.1,8.7,1015.4,0
30.5,46.3,26.1,3.6,1002.8,1
23.6,54.1,22.1,1.6,1010.6,0
26.0,57.4,16.5,2.3,1003.7,0
29.5,40.6,15.9,0.7,1018.8,1
16.5,42.8,16.4,6.4,1005.8,1
31.1,35.5,20.3,4.0,1017.0,0
31.4,34.7,27.0,8.0,1018.1,1
18.5,50.8,25.7,0.2,1006.6,0
27.0,48.4,24.7,1.2,1015.8,0
34.2,84.7,10.6,5.2,1006.2,0
23.4,74.3,11.0,4.5,1009.0,0
25.2,47.5,15.6,9.8,1008.7,0
20.6,80.3,21.1,2.8,1003.8,0
32.6,36.9,24.3,1.8,1007.5,0
17.3,35.0,21.3,9.0,1014.4,1
21.2,51.6,21.3,1.3,1014.7,0
24.3,52.5,26.7,2.0,1010.6,0
26.9,40.2,6.4,9.5,1005.3,0
16.2,55.0,5.3,0.1,1002.8,0
17.4,88.4,21.2,8.7,1011.2,0
24.9,67.1,19.8,5.2,1001.5,1
31.8,64.2,20.6,9.8,1019.7,0
33.7,85.2,20.5,4.5,1016.4,1
29.4,63.5,9.0,4.7,1008.5,0
24.6,65.8,22.8,1.5,1002.9,0
27.8,65.7,22.1,0.2,1016.0,1
24.1,86.7,20.9,9.9,1003.4,0
34.8,54.4,23.1,6.0,1012.0,1
29.6,84.3,21.8,8.7,1018.6,1
25.8,63.9,21.7,3.3,1013.7,1
27.1,31.0,9.0,1.5,1015.4,0
19.4,89.9,9.9,7.2,1004.3,0
27.5,87.5,22.2,1.7,1006.6,0
25.5,53.5,25.6,6.3,1005.7,1
32.6,35.0,17.6,9.1,1013.1,0
17.4,86.8,15.6,7.4,1011.6,0
21.4,40.0,29.9,5.0,1012.1,0
32.1,84.8,10.1,7.4,1006.1,0
32.7,59.2,26.5,0.4,1015.2,0
21.9,57.9,24.1,7.1,1005.0,0
18.8,38.9,14.6,3.4,1016.9,0
31.2,49.7,10.2,0.3,1013.9,1
28.0,34.7,12.9,4.7,1004.0,0
34.1,71.7,5.4,3.8,1019.9,1
17.6,58.1,16.9,8.3,1001.2,0
26.8,49.5,9.7,9.6,1001.7,0
30.6,77.7,20.9,2.3,1004.2,0
34.7,69.2,17.1,3.0,1009.0,0
15.9,46.7,27.6,7.0,1005.9,0
33.4,55.3,13.1,9.3,1007.2,0
22.9,78.5,24.7,1.4,1000.8,1
18.2,65.6,21.2,6.0,1001.4,0
18.3,53.8,26.9,4.0,1006.9,0
15.5,70.0,25.9,0.8,1009.5,0
33.3,58.6,16.5,5.9,1015.4,0
23.0,51.8,26.7,5.9,1003.9,0
15.8,57.3,18.3,1.4,1002.3,1
31.9,50.0,6.3,1.8,1015.4,1
20.1,73.1,17.4,2.0,1016.6,0
24.0,46.4,22.5,6.6,1013.8,1
26.6,54.1,14.5,7.4,1009.8,0
16.2,60.5,21.1,9.9,1006.7,0
22.6,42.2,10.2,3.7,1003.2,0
18.9,77.8,9.8,6.2,1009.9,0
34.7,85.4,13.2,6.4,1010.3,1
27.3,48.9,27.6,6.5,1013.7,0
34.9,88.1,6.9,4.8,1004.3,0
28.5,54.9,8.4,4.4,1008.1,0
29.8,54.9,12.0,9.2,1010.5,1
21.0,50.3,6.2,0.9,1015.3,0
18.6,59.0,18.8,8.3,1000.9,0
25.2,88.8,5.2,2.1,1012.3,0
33.3,64.6,5.8,6.4,1010.2,0
24.2,67.4,7.3,9.7,1013.5,0
33.2,31.0,22.2,6.2,1013.8,0
