Name,Location,Duration,Destination,Class,Price ($),Distance (km),Aircraft Type
Asian Airlines,Chicago,12:40,Stockholm,Business,422.0,4220,Airbus A319
Lufthansa,Melbourne,1:40,Mexico City,Economy,225.85,4517,Bombardier CRJ
Gulf Air,Ottawa,10:10,Budapest,Economy,179.9,3598,Boeing 787-10
Star Lines,Texas,3:00,Sydney,Business,470.6,4706,Airbus A330neo
Swiss International Air Lines,Dublin,2:50,St. Petersburg,First,631.8,3159,Airbus A380
Indigoo,Brazil,7:40,Sydney,Business,1259.3,12593,Boeing 737
X-Express,Texas,12:40,Buenos Aires,Economy,584.2,11684,Boeing 757
X-Express,Paris,12:00,Delhi,First,1600.4,8002,Airbus A320
Virgin Atlantic,London,7:20,Istanbul,First,574.2,2871,Boeing 787-10
Virgin Atlantic,Istanbul,3:20,Paris,Economy,234.35,4687,Boeing 737
Aeroflot,New York,1:20,Warsaw,Economy,510.15,10203,Airbus A330neo
Air India,Stockholm,11:00,Kuala Lumpur,Business,916.7,9167,McDonnell Douglas MD-80
United Airlines,Barcelona,7:50,Moscow,First,2246.2,11231,Airbus A380
Gulf Air,Amsterdam,7:30,Istanbul,Economy,174.95,3499,Airbus A321
American Airlines,Copenhagen,9:30,Venice,First,938.8,4694,Airbus A330
French Bee,Brazil,7:30,Moscow,First,440.4,2202,Boeing 737
British Airways,Melbourne,9:10,Abu Dhabi,Business,1112.0,11120,Bombardier CRJ
LATAM Airlines,Edinburgh,1:30,Miami,Economy,49.0,980,Airbus A320
X-Express,Ho Chi Minh City,2:10,Abu Dhabi,Business,567.3,5673,Airbus A380
SAS Scandinavian Airlines,Los Angeles,2:00,Miami,Economy,465.8,9316,Boeing 787-10
Space Jet,Rome,12:30,Doha,Economy,364.3,7286,McDonnell Douglas MD-11
American Airlines,Chennai,4:30,Ho Chi Minh City,First,2655.8,13279,Boeing 777
Go First,Copenhagen,5:50,Brussels,Business,1228.9,12289,Airbus A319
Air Canada,Ottawa,3:40,Munich,Business,594.9,5949,Boeing 777X
Air France,Doha,3:00,Nairobi,Business,1192.7,11927,Airbus A330neo
Iberia Airlines,Johannesburg,9:10,Zurich,Economy,501.15,10023,Boeing 787-10
Aeroflot,Shanghai,6:10,Budapest,Business,958.5,9585,Airbus A320
Air France,Mexico City,5:00,Brussels,Business,1332.5,13325,McDonnell Douglas MD-80
Asian Airlines,Berlin,4:30,Sydney,Business,1110.7,11107,Airbus A330
Lufthansa,Chicago,12:00,Amsterdam,Economy,502.45,10049,ATR 72
Singapore Airlines,Zurich,4:00,Manchester,Business,209.8,2098,Airbus A330
Thai Airways,Buenos Aires,10:40,Vienna,Business,582.3,5823,Airbus A321
Swiss International Air Lines,Kuala Lumpur,10:00,Vancouver,Business,196.7,1967,Airbus A319
Turkish Airlines,Ottawa,4:00,Chicago,First,162.4,812,Airbus A330
Korean Air,Mumbai,1:40,Brussels,Business,1044.4,10444,De Havilland Dash 8
American Airlines,Sydney,12:00,Barcelona,Business,1144.0,11440,Airbus A321
Japan Airlines,Manchester,1:50,Barcelona,Economy,332.25,6645,Embraer E190
LATAM Airlines,Dublin,10:00,Warsaw,First,1535.8,7679,De Havilland Dash 8
Etihad Airways,Beijing,1:00,Tokyo,Economy,327.8,6556,De Havilland Dash 8
Lufthansa,Shanghai,9:20,Sao Paulo,First,557.4,2787,Embraer E190
Japan Airlines,Mexico City,1:10,Stockholm,Business,1361.5,13615,Boeing 737 MAX
Space Jet,Sydney,10:10,Berlin,Economy,376.25,7525,ATR 72
Easy Jet,Dubai,7:50,Athens,Economy,410.9,8218,Airbus A350
Go First,Oslo,3:40,Paris,First,1104.0,5520,Boeing 777X
Iberia Airlines,Manchester,12:30,Los Angeles,Economy,692.05,13841,Bombardier CRJ
Royal Jordanian,Kuala Lumpur,3:50,Istanbul,Business,656.3,6563,Airbus A320
Go First,Dublin,7:50,Dublin,Business,201.5,2015,Airbus A320
Korean Air,Chicago,12:00,Lyon,First,2829.2,14146,Airbus A350
Swiss International Air Lines,Doha,3:30,Moscow,First,2999.6,14998,Airbus A330
Etihad Airways,Doha,7:50,Berlin,First,2103.6,10518,Boeing 737
Qantas,Seoul,7:50,St. Petersburg,Economy,192.95,3859,Boeing 747
Easy Jet,Toronto,2:20,Nairobi,Business,604.5,6045,McDonnell Douglas MD-11
Indigoo,Edinburgh,5:20,Miami,First,517.8,2589,Boeing 777X
Air International,Lisbon,8:00,Rio de Janeiro,Economy,377.25,7545,Boeing 737 MAX
Air India,Brazil,7:30,Hanoi,Business,1239.4,12394,Boeing 777
Air India,Manchester,1:50,Amsterdam,First,1407.4,7037,Boeing 787
United Airlines,Madrid,5:20,Oslo,Business,1226.3,12263,McDonnell Douglas MD-80
Royal Jordanian,Doha,7:00,Rome,First,580.8,2904,Boeing 737
Emirates,Delhi,1:40,Manila,Economy,360.35,7207,Airbus A330
United Airlines,Brazil,8:20,Toronto,Business,184.4,1844,Airbus A320
Alaska Airlines,Mexico City,2:00,Oslo,Economy,156.2,3124,Boeing 737 MAX
