text,label,relationship_stage,medium,trigger
I feel frustrated when you spend time with them instead of me.,5,long_distance,phone,happiness
You’re making me feel like I don’t matter.,0,early_dating,text,milestone
I'm exhausted by how you shut down every time we try to talk.,1,long_distance,phone,milestone
Why do you always hang out with them and not me?,5,early_dating,in_person,separation
I trust you enough to share my deepest fears. Can we meet up soon?,7,committed,in_person,stress
You always act defensive and manipulative.,0,early_dating,in_person,happiness
"If you can't prove your commitment, I’m done.",0,long_distance,phone,milestone
"I feel far away when opening up, but I still trust you deeply.",7,long_distance,in_person,stress
Let's build something meaningful together.,4,early_dating,email,separation
"Want to get together this weekend?",2,breaking_up,email,milestone
"If you really loved me, you'd show it through actions.",0,committed,text,happiness
It bothers me when you chat with others frequently.,5,married,email,milestone
Can’t you just {positive_action} without me asking?,1,long_distance,phone,separation
I’d prefer to delay this conversation for now.,3,early_dating,email,happiness
Why were you talking to them? Do you not value me anymore?,5,early_dating,text,conflict
I’m choosing to be vulnerable because I trust you completely.,7,early_dating,phone,conflict
I'm afraid to open up — will you {listen_action}? ,7,early_dating,email,separation
You seem overly focused on your emotions lately.,5,early_dating,text,milestone
"If you truly loved me, you'd step up and support me.",0,married,email,conflict
Let’s pause this discussion for now.,3,committed,in_person,stress
What are your thoughts about today so far?,2,breaking_up,phone,milestone
"I love you and don’t want this {conflict_noun} to destroy us.",6,breaking_up,text,happiness
"I want to move forward, but I’m angry about your behavior. 😡",8,committed,in_person,conflict
You never take my side in these situations.,1,committed,phone,milestone
"I’m optimistic about our future, but I need more emotional investment. 💪",8,early_dating,in_person,conflict
How did your day go?,2,married,phone,happiness
"You mean a lot to me, but your silence is confusing. 😕",8,long_distance,in_person,stress
Let’s spend quality time together.,4,early_dating,in_person,stress
I feel betrayed and hurt right now.,1,committed,in_person,separation
I’m not ready to have this conversation right now.,3,breaking_up,text,milestone
I’m deeply hurt by the way you’ve been acting.,1,committed,text,separation
I’m scared to be myself. Can you {reassure_action} me?,7,early_dating,in_person,stress
I hate it when you keep secrets from me.,1,breaking_up,in_person,milestone
I feel emotionally exposed when we open up.,7,early_dating,text,stress
Let’s not argue about this at the moment.,3,married,phone,conflict
I fear losing you — can we please talk?,7,early_dating,in_person,conflict
Let’s connect sometime soon.,2,committed,text,milestone
I feel left out when you reconnect with other people.,5,breaking_up,email,stress
Let’s work together to resolve this issue.,6,breaking_up,email,conflict
Opening up feels risky — can I count on you to {vulnerable_action}?,7,early_dating,text,conflict
Let’s find a solution to this problem together.,6,long_distance,phone,separation
Are you available to hang out later?,2,committed,in_person,conflict
"I care about our future, but I need some major changes. 🌟",8,breaking_up,in_person,stress
Your affection makes me feel cherished.,4,married,in_person,stress
I don’t want to fight anymore.,1,breaking_up,email,separation
I struggle to trust you when you talk to others.,5,committed,text,happiness
"I believe in us, but I need more effort from you. 💪",8,breaking_up,text,conflict
Maybe we can hang out sometime soon.,2,married,email,separation
I’m tired of playing these games.,0,breaking_up,email,conflict
Would you like to catch up soon?,2,early_dating,text,separation
Being with you brings me joy.,4,long_distance,text,separation
You only {positive_action} when I force you to fix things.,0,long_distance,phone,happiness
I’m scared I’m not good enough — can we talk about it?,7,long_distance,phone,separation
I’m confused about being open with you.,7,committed,text,conflict
You’re the love of my dreams.,4,early_dating,phone,milestone
Can’t you just try to {positive_action} for once?,1,long_distance,text,milestone
I’m uncomfortable seeing you meet up with others.,5,breaking_up,phone,separation
