House_ID,Type,Price,Construction_Date,Is_Active,Review,Area,Rating
1,Villa,683072,2014-04-29,,Excellent place!,3219,2.0
2,Penthouse,167752,2004-09-18,False,Needs renovation.,833,1.0
3,Apartment, ,2015-06-24,,Needs renovation.,1656,3.0
4,Studio,324128,2023-06-15,False,Worth the price.,914,5.0
5,Apartment,781438,1996-05-13,,Worth the price.,3743,1.0
6,Villa,461031,2000-09-08,True,Highly recommended.,1015,5.0
7,Studio,512518,2019-07-23,,Needs renovation.,1529,4.0
8,Townhouse,925938,2024-02-02,True,Overpriced!,3072,4.0
9,Studio,168651,2023-10-18,,Overpriced!,1303,4.0
10,Studio,379143,2015-02-27,True,Worth the price.,567,3.0
11,Penthouse,756007,2023-08-10,True,Overpriced!,3451,1.0
12,Villa, ,2012-05-11,,Highly recommended.,2586,5.0
13,Townhouse,762878,2016-09-19,False,Needs renovation.,4399,3.0
14,Villa,511314,1997-12-16,,Worth the price.,3237,3.0
15,Penthouse,302064,2010-10-11,True,Needs renovation.,2977,1.0
16,Villa,262488,2004-10-23,True,Highly recommended.,2142,4.0
17,Studio,276363,2019-10-20,,Highly recommended.,2060,2.0
18,Villa,582565,2009-06-02,False,Overpriced!,893,5.0
19,Studio,434164,2019-05-29,,Overpriced!,2400,5.0
20,Apartment,922337,2009-06-12,,Needs renovation.,2841,5.0
21,Villa,918233,2009-06-16,False,Overpriced!,667,
22,Studio,819199,2011-01-05,,Worth the price.,4728,3.0
23,Studio,738837,2003-01-11,,Needs renovation.,809,3.0
24,Penthouse,574008,2005-11-24,True,Needs renovation.,4247,2.0
25,Townhouse,617048,1998-12-20,False,Excellent place!,4088,3.0
26,Studio,289500,2017-02-24,,Excellent place!,2081,3.0
27,Penthouse,218252,2005-04-29,,Overpriced!,4063,5.0
28,Penthouse,690648,2018-07-29,,Overpriced!,807,
29,Studio,848307,1995-07-05,False,Worth the price.,3254,1.0
30,Apartment,344187,2013-01-26,,Needs renovation.,1574,4.0
31,Penthouse,459630,1999-02-19,False,Needs renovation.,2552,5.0
32,Villa,353365,2001-09-28,,Highly recommended.,4879,3.0
33,Penthouse,528152,2008-01-27,False,Needs renovation.,2710,5.0
34,Villa,101109,2001-10-28,True,Overpriced!,1905,5.0
35,Villa,536719,2024-07-05,False,Highly recommended.,2260,
36,Townhouse,668910,2005-12-23,True,Excellent place!,2521,5.0
37,Studio,254700,2015-10-07,True,Worth the price.,2196,3.0
38,Townhouse,702966,1996-07-07,,Highly recommended.,2569,
39,Penthouse,930275,2017-08-27,False,Worth the price.,2463,5.0
40,Townhouse,688932,2002-08-10,,Needs renovation.,3173,4.0
41,Villa,748434,2010-11-24,False,Worth the price.,4690,5.0
42,Studio,671929,2003-05-03,False,Overpriced!,2278,4.0
43,Apartment,744452,2005-09-11,True,Overpriced!,3878,4.0
44,Villa,641313,2000-04-20,True,Needs renovation.,2527,
45,Apartment,410003,2005-07-27,False,Excellent place!,3326,
46,Studio,992886,2001-10-09,,Overpriced!,1999,3.0
47,Villa,959577,2010-10-26,True,Needs renovation.,3836,
48,Studio,777095,2003-11-05,True,Excellent place!,2200,3.0
49,Apartment,382477,1997-08-07,,Highly recommended.,3417,
50,Townhouse,419277,2017-07-09,True,Worth the price.,1178,5.0
51,Villa,156417,1995-06-07,,Worth the price.,2063,5.0
52,Penthouse,489707,2015-05-19,,Excellent place!,2678,2.0
53,Townhouse,276012,1998-01-14,True,Excellent place!,2143,1.0
54,Townhouse,241995,2023-03-19,True,Needs renovation.,1690,2.0
55,Apartment,709272,2000-02-23,False,Needs renovation.,883,3.0
56,Apartment,876774,2019-04-20,,Overpriced!,1496,1.0
57,Studio,357208,2011-01-02,True,Highly recommended.,680,5.0
58,Studio,277745,2020-12-05,,Worth the price.,938,1.0
59,Studio,413867,2000-04-03,,Highly recommended.,1995,3.0
60,Penthouse,377341,2002-08-13,True,Excellent place!,661,2.0
61,Townhouse,112492,2023-12-14,True,Overpriced!,811,5.0
62,Townhouse,913858,2013-10-15,False,Overpriced!,4187,4.0
63,Penthouse,135073,2002-05-06,True,Needs renovation.,554,5.0
64,Apartment,700700,2024-12-24,False,Worth the price.,987,1.0
65,Apartment,958694,1995-09-27,False,Needs renovation.,3020,1.0
66,Penthouse,830649,2016-04-19,False,Excellent place!,2321,5.0
67,Villa,963862,1998-12-10,False,Excellent place!,1720,
68,Penthouse,274127,2010-08-24,False,Highly recommended.,1163,1.0
69,Penthouse,309025,2023-04-01,False,Excellent place!,1167,
70,Apartment,103370,2025-03-22,,Overpriced!,3467,1.0
71,Apartment,969572,2020-02-14,True,Overpriced!,1458,3.0
72,Townhouse,587118,2013-12-20,True,Highly recommended.,710,4.0
73,Studio,265454,2014-06-04,,Needs renovation.,2735,4.0
74,Apartment,237497,2006-02-21,True,Needs renovation.,4720,5.0
75,Penthouse,580881,2018-07-12,,Overpriced!,3550,1.0
76,Apartment,203912,2009-06-05,True,Excellent place!,1133,4.0
77,Villa,848557,1995-08-25,,Worth the price.,4104,
78,Penthouse,242660,2000-09-19,True,Highly recommended.,4984,2.0
79,Studio,323260,2001-03-17,,Worth the price.,2272,1.0
80,Townhouse,799052,1999-11-24,,Excellent place!,818,2.0
81,Villa,795936,2003-06-30,True,Needs renovation.,4292,3.0
82,Studio,548725,2009-11-19,,Worth the price.,4916,
83,Studio,608383,1999-10-23,False,Worth the price.,2611,1.0
84,Studio,171357,2014-06-11,,Worth the price.,2947,5.0
85,Studio,283562,2024-10-18,True,Overpriced!,503,4.0
86,Penthouse,139231,2019-07-29,True,Excellent place!,2264,2.0
