Input_Sequence,Target_Value
"0.0,0.05002915670857863,0.09993301616303926,0.1495865949143112,0.19886553633749857,0.24764642208113616,0.2958070811665539,0.3432268959632157,0.38978710427372076,0.4353710967719027",0.4798647090490943
"0.05002915670857863,0.09993301616303926,0.1495865949143112,0.19886553633749857,0.24764642208113616,0.2958070811665539,0.3432268959632157,0.38978710427372076,0.4353710967719027,0.4798647090490943",0.5231565075371343
"0.09993301616303926,0.1495865949143112,0.19886553633749857,0.24764642208113616,0.2958070811665539,0.3432268959632157,0.38978710427372076,0.4353710967719027,0.4798647090490943,0.5231565075371343",0.5651380685920271
"0.1495865949143112,0.19886553633749857,0.24764642208113616,0.2958070811665539,0.3432268959632157,0.38978710427372076,0.4353710967719027,0.4798647090490943,0.5231565075371343,0.5651380685920271",0.605704250039292
"0.19886553633749857,0.24764642208113616,0.2958070811665539,0.3432268959632157,0.38978710427372076,0.4353710967719027,0.4798647090490943,0.5231565075371343,0.5651380685920271,0.605704250039292",0.6447534545009243
"0.24764642208113616,0.2958070811665539,0.3432268959632157,0.38978710427372076,0.4353710967719027,0.4798647090490943,0.5231565075371343,0.5651380685920271,0.605704250039292,0.6447534545009243",0.6821878838444657
"0.2958070811665539,0.3432268959632157,0.38978710427372076,0.4353710967719027,0.4798647090490943,0.5231565075371343,0.5651380685920271,0.605704250039292,0.6447534545009243,0.6821878838444657",0.717913784116926
"0.3432268959632157,0.38978710427372076,0.4353710967719027,0.4798647090490943,0.5231565075371343,0.5651380685920271,0.605704250039292,0.6447534545009243,0.6821878838444657,0.717913784116926",0.7518416803501158
"0.38978710427372076,0.4353710967719027,0.4798647090490943,0.5231565075371343,0.5651380685920271,0.605704250039292,0.6447534545009243,0.6821878838444657,0.717913784116926,0.7518416803501158",0.78388660064933
"0.4353710967719027,0.4798647090490943,0.5231565075371343,0.5651380685920271,0.605704250039292,0.6447534545009243,0.6821878838444657,0.717913784116926,0.7518416803501158,0.78388660064933",0.8139682890041526
"0.4798647090490943,0.5231565075371343,0.5651380685920271,0.605704250039292,0.6447534545009243,0.6821878838444657,0.717913784116926,0.7518416803501158,0.78388660064933,0.8139682890041526",0.8420114062884005
"0.5231565075371343,0.5651380685920271,0.605704250039292,0.6447534545009243,0.6821878838444657,0.717913784116926,0.7518416803501158,0.78388660064933,0.8139682890041526,0.8420114062884005",0.8679457189458079
"0.5651380685920271,0.605704250039292,0.6447534545009243,0.6821878838444657,0.717913784116926,0.7518416803501158,0.78388660064933,0.8139682890041526,0.8420114062884005,0.8679457189458079",0.8917062748888882
"0.605704250039292,0.6447534545009243,0.6821878838444657,0.717913784116926,0.7518416803501158,0.78388660064933,0.8139682890041526,0.8420114062884005,0.8679457189458079,0.8917062748888882",0.9132335661704393
"0.6447534545009243,0.6821878838444657,0.717913784116926,0.7518416803501158,0.78388660064933,0.8139682890041526,0.8420114062884005,0.8679457189458079,0.8917062748888882,0.9132335661704393",0.9324736780202824
"0.6821878838444657,0.717913784116926,0.7518416803501158,0.78388660064933,0.8139682890041526,0.8420114062884005,0.8679457189458079,0.8917062748888882,0.9132335661704393,0.9324736780202824",0.9493784238739756
"0.717913784116926,0.7518416803501158,0.78388660064933,0.8139682890041526,0.8420114062884005,0.8679457189458079,0.8917062748888882,0.9132335661704393,0.9324736780202824,0.9493784238739756",0.9639054660553243
"0.7518416803501158,0.78388660064933,0.8139682890041526,0.8420114062884005,0.8679457189458079,0.8917062748888882,0.9132335661704393,0.9324736780202824,0.9493784238739756,0.9639054660553243",0.9760184218104399
"0.78388660064933,0.8139682890041526,0.8420114062884005,0.8679457189458079,0.8917062748888882,0.9132335661704393,0.9324736780202824,0.9493784238739756,0.9639054660553243,0.9760184218104399",0.985686954427788
